# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.1.2
#@/tick	57682
#@/user_id	Office-PC
a 	啊	c=62 d=0.0314298 t=57682
shao nai nai 	少奶奶	c=1 d=2.44759e-060 t=57682
shao shao 	少少	c=1 d=1 t=46098
shao shao 	稍稍	c=1 d=3.34177e-047 t=57682
shao shou 	少收	c=1 d=1.23721e-063 t=57682
shao shu 	少數	c=1 d=3.31888e-025 t=57682
shao wei 	稍微	c=1 d=3.69888e-065 t=57682
shao yi dian 	少一點	c=1 d=2.50188e-024 t=57682
shao yi ge 	少一個	c=1 d=3.53925e-046 t=57682
shao yu 	少於	c=1 d=1 t=54027
she 	設	c=2 d=0.000493001 t=57682
she bao 	社保	c=5 d=1.12126e-014 t=57682
she bei 	設備	c=6 d=0.65377 t=57682
she bei shu 	設備數	c=5 d=1.28809 t=57682
she fa 	設法	c=0 d=5.49185e-010 t=57682
she ji 	涉及	c=8 d=2.40051e-008 t=57682
she ji 	設計	c=5 d=0.000139144 t=57682
she li 	設立	c=1 d=6.11317e-064 t=57682
she me 	什麼	c=0 d=6.50841e-008 t=57682
she me ma 	什麼嗎	c=1 d=6.54104e-007 t=57682
she zhi 	設置	c=33 d=0.00985693 t=57682
shen 	深	c=2 d=9.26294e-012 t=57682
shen 	神	c=8 d=1.32768e-011 t=57682
shen 	身	c=1 d=5.5758e-011 t=57682
shen du 	深度	c=2 d=4.81811e-028 t=57682
shen er 	甚而	c=0 d=2.22781e-013 t=57682
shen er ma 	甚而嗎	c=4 d=0.00163682 t=57682
shen fen 	身份	c=4 d=0.00160441 t=57682
shen fen zheng 	身份證	c=1 d=6.69013e-062 t=57682
shen hu 	深戶	c=2 d=3.9196e-041 t=57682
shen hua 	神話	c=2 d=1.36812e-062 t=57682
shen me 	什麼	c=156 d=0.249321 t=57682
shen me bu tong 	什麼不通	c=1 d=5.58833e-008 t=57682
shen me gui 	什麼鬼	c=1 d=1.52321e-039 t=57682
shen me shi hou 	什麼時候	c=1 d=8.23342e-067 t=57682
shen me shou ji 	什麼手機	c=1 d=2.70372e-025 t=57682
shen ming 	申明	c=2 d=2.79526e-005 t=57682
shen pi 	審批	c=1 d=7.72365e-021 t=57682
shen qing 	申請	c=10 d=0.0483156 t=57682
shen ru 	深入	c=2 d=1.12126e-023 t=57682
shen ti 	身體	c=4 d=0.00244185 t=57682
shen wa 	深挖	c=1 d=1.84137e-006 t=57682
shen ying 	身影	c=2 d=8.98582e-031 t=57682
shen yuan 	深遠	c=1 d=3.07102e-053 t=57682
shen zhen 	深圳	c=8 d=5.662e-015 t=57682
shen zhen shi 	深圳市	c=5 d=5.81739e-010 t=57682
shen zhi 	甚至	c=1 d=1.6102e-016 t=57682
sheng 	勝	c=2 d=3.59151e-042 t=57682
sheng 	昇	c=1 d=1 t=38161
sheng 	省	c=1 d=1.49351e-072 t=57682
sheng bing 	生病	c=1 d=1 t=46856
sheng chan 	生產	c=1 d=3.86716e-059 t=57682
sheng cheng 	生成	c=18 d=0.126599 t=57682
sheng cheng ji ge 	生成幾個	c=1 d=0.000411789 t=57682
sheng dao 	聲道	c=1 d=1 t=52785
sheng di 	聖地	c=1 d=2.9475e-070 t=57682
sheng dian 	盛典	c=4 d=1 t=53460
sheng huo 	生活	c=1 d=1 t=53364
sheng ji 	升級	c=29 d=0.0131033 t=57682
sheng ming 	生命	c=8 d=0.00576978 t=57682
sheng ming 	聲明	c=1 d=1 t=41567
sheng ming zhou qi 	生命週期	c=1 d=1.42366e-038 t=57682
sheng ri 	生日	c=3 d=0.0674263 t=57682
sheng tai 	生態	c=1 d=1.6489e-060 t=57682
sheng xia 	剩下	c=2 d=3.59848e-006 t=57682
sheng xiao 	生效	c=11 d=0.00867261 t=57682
sheng yin 	聲音	c=7 d=1.81519e-014 t=57682
sheng yu 	剩餘	c=3 d=2.22313 t=46389
shi 	事	c=11 d=4.18154e-008 t=57682
shi 	使	c=3 d=1.23452e-008 t=57682
shi 	十	c=1 d=1.59418e-016 t=57682
shi 	史	c=1 d=1 t=53340
shi 	是	c=1049 d=3.14923 t=57682
shi 	時	c=38 d=2.59329e-005 t=57682
shi 	示	c=1 d=1.99494e-066 t=57682
shi 	視	c=1 d=4.56508e-011 t=57682
shi 	試	c=12 d=0.0104989 t=57682
shi 	識	c=0 d=1.00338e-070 t=57682
shi 	食	c=3 d=8.28341e-050 t=57682
shi a 	是啊	c=4 d=4.06198e-049 t=57682
shi ba 	是吧	c=5 d=2.81942e-018 t=57682
shi bai 	失敗	c=37 d=0.00511051 t=57682
shi bei 	是被	c=1 d=1 t=49478
shi bie 	識別	c=30 d=0.0765355 t=57682
shi bu cuo 	是不錯	c=1 d=2.12205e-028 t=57682
shi bu hui 	是不會	c=2 d=1.60878e-035 t=57682
shi bu shi 	是不是	c=110 d=0.664724 t=57682
shi bu shi he 	適不適合	c=1 d=1.41271e-006 t=57682
shi ce 	實測	c=2 d=1.70183e-020 t=57682
shi chang 	市場	c=16 d=0.385867 t=57682
shi chang 	時長	c=13 d=2.06153e-011 t=57682
shi dai 	時代	c=1 d=1.30943e-054 t=57682
shi dang 	適當	c=1 d=1 t=45965
shi de 	使得	c=1 d=0.189191 t=57682
shi dei wu shi dei a 	識得唔識得啊	c=1 d=3.91747e-064 t=57682
shi dui 	是對	c=1 d=0.190139 t=57682
shi fan 	食飯	c=1 d=2.68037e-070 t=57682
shi fou 	是否	c=80 d=0.843665 t=57682
shi fou you 	是否有	c=3 d=3.48607e-015 t=57682
shi ge 	是個	c=1 d=1.27819e-064 t=57682
shi gu 	事故	c=1 d=1 t=53461
shi guo 	試過	c=2 d=4.62275e-041 t=57682
shi guo qi 	是過期	c=1 d=4.09012e-042 t=57682
shi he 	適合	c=2 d=1.89513e-021 t=57682
shi hou 	時候	c=170 d=0.0254504 t=57682
shi ji 	世紀	c=1 d=0.0152222 t=57682
shi ji 	十幾	c=1 d=1.09128e-057 t=57682
shi ji 	實際	c=20 d=1.52298e-006 t=57682
shi ji 	時機	c=29 d=0.186363 t=57682
shi ji dian 	時機點	c=1 d=1 t=37257
shi ji shang 	實際上	c=16 d=0.187412 t=57682
shi ji shi 	時機是	c=1 d=2.11916e-012 t=57682
shi jian 	世間	c=0 d=0.1 t=37456
shi jian 	事件	c=5 d=1.93239 t=53315
shi jian 	實踐	c=3 d=0.0426384 t=57682
shi jian 	時間	c=96 d=0.0278757 t=57682
shi jian chuo 	時間戳	c=1 d=1 t=54659
shi jian dian 	時間點	c=3 d=1.06455e-030 t=57682
shi jian shang 	時間上	c=2 d=1.98511 t=51095
shi jian xian 	時間線	c=1 d=4.28507e-031 t=57682
shi jian xian zhi 	時間限制	c=0 d=2.25327e-029 t=57682
shi jie 	世界	c=4 d=4.93206e-028 t=57682
shi jie 	師姐	c=1 d=6.60747e-067 t=57682
shi jie zhi chuang 	世界之窗	c=2 d=0.366045 t=57682
shi le 	試了	c=8 d=2.85464e-017 t=57682
shi li 	實例	c=5 d=0.103312 t=57682
shi li 	示例	c=1 d=2.12892e-066 t=57682
shi ma 	是嗎	c=12 d=3.08179e-006 t=57682
shi mi si 	史密斯	c=1 d=1 t=53652
shi mian 	失眠	c=1 d=1 t=43200
shi mian 	市面	c=1 d=1 t=43201
shi ming 	實名	c=4 d=2.05583e-008 t=57682
shi ou 	是偶	c=4 d=5.37836e-028 t=57682
shi pei 	適配	c=5 d=4.90827e-032 t=57682
shi pin 	視頻	c=21 d=1.14353e-019 t=57682
shi qing 	事情	c=31 d=0.0182243 t=57682
shi qing ni ge 	事情你個	c=1 d=4.32961e-035 t=57682
shi she 	施捨	c=1 d=1 t=41082
shi shen me 	是什麼	c=1 d=7.71683e-040 t=57682
shi shi 	實時	c=4 d=0.249075 t=57682
shi shi 	試試	c=41 d=0.00225438 t=57682
shi shuo 	時說	c=1 d=1 t=51569
shi ti 	實體	c=3 d=1 t=51585
shi ti 	屍體	c=1 d=2.4743e-070 t=57682
shi ting 	試聽	c=1 d=1 t=56552
shi tu 	視圖	c=1 d=1.29579e-019 t=57682
shi tu 	試圖	c=2 d=1.28932e-019 t=57682
shi wei guan 	拾味館	c=1 d=1.9589e-028 t=57682
shi xi 	實習	c=1 d=0.0244775 t=57682
shi xi sheng 	實習生	c=1 d=1 t=52963
shi xia 	試下	c=28 d=0.00233182 t=57682
shi xian 	實現	c=70 d=0.0414624 t=57682
shi xian wan le 	實現完了	c=1 d=1 t=45957
shi xiang 	事項	c=1 d=8.16842e-062 t=57682
shi xu 	時序	c=1 d=4.39355e-031 t=57682
shi yan 	實驗	c=4 d=3.40521e-033 t=57682
shi yan ban 	實驗版	c=1 d=9.5363e-060 t=57682
shi yan ban 	實驗班	c=1 d=7.80766e-060 t=57682
shi yi 	事宜	c=1 d=1 t=41193
shi yi ge 	十一個	c=1 d=1 t=46557
shi yi xia 	是一下	c=10 d=0.0104342 t=57682
shi yi xia 	試一下	c=4 d=2.10984 t=45578
shi yin wei 	是因爲	c=1 d=1 t=36921
shi ying 	適應	c=1 d=5.47825e-068 t=57682
shi yong 	使用	c=106 d=0.852749 t=57682
shi you 	石油	c=1 d=3.30233e-025 t=57682
shi yu 	食慾	c=0 d=0.1 t=48541
shi yu lei 	石玉磊	c=1 d=1.53184e-076 t=57682
shi yu o na ge 	食慾哦那個	c=1 d=1 t=48542
shi zai 	實在	c=5 d=0.380628 t=57682
shi zhi 	實質	c=1 d=5.13437e-070 t=57682
shi zhi 	是指	c=4 d=0.000102566 t=57682
shou 	受	c=1 d=2.89581e-009 t=57682
shou 	守	c=1 d=1.84702e-042 t=57682
shou 	手	c=17 d=4.62762e-024 t=57682
shou 	收	c=9 d=1.14154e-028 t=57682
shou 	首	c=4 d=1.04799e-023 t=57682
shou bu liao 	受不了	c=0 d=7.34399e-076 t=57682
shou can 	手參	c=1 d=3.02807e-005 t=57682
shou can 	手殘	c=1 d=3.04325e-005 t=57682
shou cang 	收藏	c=3 d=1 t=51633
shou ci 	首次	c=26 d=0.010889 t=57682
shou dao 	受到	c=3 d=1.57725e-008 t=57682
shou dao 	收到	c=216 d=1.29125 t=57682
shou dong 	手動	c=4 d=9.85615e-007 t=57682
shou du 	首都	c=0 d=1.13779e-049 t=57682
shou du ao 	首都奧	c=4 d=5.20504e-025 t=57682
shou fa 	手法	c=0 d=8.25895e-075 t=57682
shou fa 	收發	c=1 d=2.43663e-066 t=57682
shou fa 	首發	c=3 d=1.84101e-014 t=57682
shou gan 	手感	c=1 d=1.55287e-060 t=57682
shou ge qu 	首歌曲	c=2 d=1.5886 t=44072
shou gong 	手工	c=1 d=1 t=43613
shou gui 	收歸	c=5 d=4.20394e-012 t=57682
shou hai zhe 	受害者	c=1 d=1.09507e-039 t=57682
shou ji 	手機	c=113 d=0.249846 t=57682
shou ji 	收集	c=15 d=0.540641 t=57682
shou ji guan jia 	手機管家	c=1 d=6.33092e-064 t=57682
shou ji li 	手機裏	c=4 d=2.47189e-017 t=57682
shou ji shang 	手機上	c=7 d=4.09944e-010 t=57682
shou ji shi 	手機是	c=1 d=0.000119165 t=57682
shou ji zhong 	手機中	c=2 d=2.08093e-019 t=57682
shou jian 	手簡	c=1 d=3.00091e-046 t=57682
shou jian ren 	收件人	c=2 d=9.21831e-014 t=57682
shou kong 	受控	c=2 d=1.61172e-071 t=57682
shou kong 	手空	c=1 d=1.30153e-071 t=57682
shou li 	手裏	c=1 d=7.46943e-039 t=57682
shou pian 	首片	c=2 d=1.24272e-072 t=57682
shou ru 	收入	c=3 d=1.28063e-057 t=57682
shou shang 	受傷	c=4 d=0.00217658 t=57682
shou shang 	手上	c=1 d=6.38388e-015 t=57682
shou shi 	收拾	c=1 d=6.72927e-076 t=57682
shou si 	壽司	c=1 d=1 t=41641
shou tou shang 	手頭上	c=1 d=1 t=54280
shou xian 	受限	c=39 d=0.900325 t=57682
shou xian 	首先	c=7 d=0.904837 t=57682
shou xu 	手續	c=2 d=0.000717312 t=57682
shou xu fei 	手續費	c=1 d=6.91278e-069 t=57682
shou ye 	首頁	c=7 d=8.65611e-009 t=57682
shou zhi 	手指	c=1 d=1.52642e-005 t=57682
shou zu 	受阻	c=4 d=0.00167826 t=57682
shu 	叔	c=1 d=2.57975e-061 t=57682
shu 	數	c=10 d=0.657047 t=57682
shu 	書	c=3 d=3.44013e-006 t=57682
shu 	樹	c=1 d=6.23919e-010 t=57682
shu 	豎	c=1 d=1 t=36028
shu biao 	鼠標	c=1 d=2.7017e-075 t=57682
shu cheng 	梳成	c=1 d=1 t=52921
shu chu 	輸出	c=35 d=0.29501 t=57682
shu chu de 	輸出的	c=1 d=6.02626e-072 t=57682
shu ji 	熟記	c=1 d=1 t=37988
shu ju 	數據	c=99 d=0.592176 t=57682
shu ju ku 	數據庫	c=19 d=0.0780817 t=57682
shu ju xian 	數據線	c=3 d=2.01965e-005 t=57682
shu li 	梳理	c=12 d=0.577942 t=57682
shu liang 	數量	c=9 d=5.84561e-008 t=57682
shu mian 	書面	c=1 d=1 t=41570
shu mu 	數目	c=3 d=4.69116e-008 t=57682
shu qiu 	輸球	c=1 d=1 t=41538
shu ru 	輸入	c=12 d=1.17427e-054 t=57682
shu ru fa 	輸入法	c=11 d=0.965634 t=57682
shu shi 	熟食	c=1 d=1.09851 t=35098
shu shi dang 	熟食檔	c=2 d=1.97045 t=35102
shu shu 	書數	c=1 d=3.63441e-064 t=57682
shu tu 	豎圖	c=4 d=5.57113e-050 t=57682
shu xi 	熟悉	c=14 d=0.00470091 t=57682
shu xian 	豎線	c=1 d=4.01951e-043 t=57682
shu xin 	舒心	c=1 d=1 t=43680
shu xing 	屬性	c=2 d=1.04937e-055 t=57682
shu xu guan 	鼠鬚管	c=1 d=6.33739e-076 t=57682
shu yu 	屬於	c=2 d=1.76485e-036 t=57682
shu zi 	數字	c=11 d=0.00113658 t=57682
shu zu 	數組	c=5 d=4.67938e-061 t=57682
shua 	刷	c=1 d=8.28623e-054 t=57682
shua xin 	刷新	c=44 d=0.0349202 t=57682
shuai 	帥	c=1 d=3.83545e-021 t=57682
shuai 	甩	c=1 d=1 t=45883
shuai 	衰	c=1 d=1 t=51837
shuai guo 	甩鍋	c=2 d=1.1367 t=39435
shuai zi 	帥字	c=1 d=4.31536e-055 t=57682
shuan 	涮	c=1 d=0.380983 t=57682
shuang 	爽	c=6 d=2.67226e-005 t=57682
shuang 	雙	c=4 d=1.7561e-007 t=57682
shuang jin cheng 	雙進程	c=4 d=1 t=53305
shuang shuang 	爽爽	c=0 d=1.58155e-041 t=57682
shuang shuang shou 	爽爽手	c=1 d=1.58947e-040 t=57682
shuang si 	爽死	c=3 d=4.09431e-005 t=57682
shuang ying 	雙贏	c=1 d=1 t=53387
shuang yu 	雙語	c=5 d=7.1288e-041 t=57682
shui 	水	c=1 d=1.14031e-074 t=57682
shui 	睡	c=1 d=2.68278e-051 t=57682
shui 	誰	c=13 d=0.0294902 t=57682
shui bu zhao 	睡不着	c=1 d=5.61694e-068 t=57682
shui jiao 	睡覺	c=2 d=1.88692 t=47223
shui le 	睡了	c=1 d=1 t=46700
shui ping 	水瓶	c=1 d=4.04873e-040 t=57682
shui qian 	稅前	c=1 d=1.21041e-070 t=57682
shui shuo 	誰說	c=2 d=2.06826 t=57682
shui shuo de 	誰說的	c=1 d=0.985112 t=57682
shui wu ju 	稅務局	c=1 d=5.87585e-010 t=57682
shui xing 	睡醒	c=1 d=4.30436e-025 t=57682
shui you 	誰有	c=1 d=1 t=43508
shun bian 	順便	c=12 d=5.12371e-005 t=57682
shun jian 	瞬間	c=1 d=2.61473e-043 t=57682
shun lu 	順路	c=1 d=1 t=53628
shun xu 	順序	c=5 d=2.4489e-019 t=57682
shun xu yi ban 	順序一般	c=1 d=1.48383e-025 t=57682
shuo 	說	c=133 d=0.754909 t=57682
shuo bu chu kou 	說不出口	c=1 d=0.433874 t=57682
shuo bu ding 	說不定	c=1 d=7.73154e-033 t=57682
shuo bu qing chu 	說不清楚	c=2 d=8.25667e-012 t=57682
shuo bu tai 	說不太	c=1 d=1 t=49295
shuo chu 	說出	c=2 d=5.18895e-018 t=57682
shuo chu lai 	說出來	c=3 d=0.000364281 t=57682
shuo dao 	說道	c=3 d=3.83415e-017 t=57682
shuo de 	說的	c=3 d=6.56355e-018 t=57682
shuo dei 	說得	c=2 d=1.11472e-014 t=57682
shuo dei wo 	說得我	c=1 d=1 t=51718
shuo fa 	說法	c=2 d=1.79453 t=49505
shuo ge 	說個	c=1 d=4.76338e-070 t=57682
shuo guo 	說過	c=4 d=3.92039e-014 t=57682
shuo hao 	說好	c=1 d=1.22574e-071 t=57682
shuo hua 	說話	c=2 d=1.17907 t=44162
shuo le 	說了	c=3 d=1.58704e-022 t=57682
shuo ming 	說明	c=34 d=1.12636 t=57682
shuo ming shi 	說明是	c=1 d=6.29827e-062 t=57682
shuo pao 	說跑	c=1 d=1 t=37004
shuo qi lai 	說起來	c=1 d=1.39813e-031 t=57682
shuo qing chu 	說清楚	c=5 d=4.3766e-005 t=57682
shuo shen me 	說什麼	c=1 d=8.30909e-057 t=57682
shuo shi 	說是	c=2 d=9.49227e-035 t=57682
shuo wan 	說完	c=1 d=5.48234e-018 t=57682
shuo xia 	說下	c=19 d=0.0546144 t=57682
shuo yi ge 	說一個	c=1 d=3.80194e-006 t=57682
shuo yi sheng 	說一聲	c=3 d=2.20715e-020 t=57682
shuo yi xia 	說一下	c=5 d=3.32577e-020 t=57682
shuo zhen 	說真	c=1 d=2.61935e-005 t=57682
si 	④	c=6 d=2.50836e-025 t=57682
si 	似	c=2 d=1.08196e-015 t=57682
si 	司	c=1 d=8.41862e-064 t=57682
si 	四	c=4 d=0.000611253 t=57682
si 	死	c=7 d=0.00660453 t=57682
si bi 	撕逼	c=1 d=1 t=40319
si di gui 	死遞歸	c=1 d=1 t=37134
si er hou zhi 	死而後止	c=1 d=5.48887e-032 t=57682
si ge 	四個	c=1 d=1 t=43295
si ji 	司機	c=1 d=2.45986e-060 t=57682
si kao 	思考	c=6 d=9.81589e-018 t=57682
si le 	死了	c=1 d=5.56519e-018 t=57682
si liao 	私聊	c=1 d=1 t=43921
si lu 	思路	c=19 d=0.165299 t=57682
si ren 	私人	c=1 d=1 t=35093
si suo 	死鎖	c=6 d=9.85416e-029 t=57682
si xin 	死心	c=1 d=3.89951e-010 t=57682
si xin 	私信	c=4 d=0.017717 t=57682
si xun huan 	死循環	c=8 d=0.00874822 t=57682
si zhou 	四周	c=1 d=1 t=35835
song 	宋	c=4 d=4.22474e-033 t=57682
song 	送	c=3 d=1.52797e-030 t=57682
song guo qu 	送過去	c=1 d=1.19466e-063 t=57682
song ni 	送你	c=1 d=3.57349e-071 t=57682
song wo 	送我	c=1 d=4.37522e-070 t=57682
song zuo 	松左	c=1 d=8.25613e-070 t=57682
sou 	搜	c=2 d=2.88981e-014 t=57682
sou ci 	搜詞	c=2 d=7.74897e-068 t=57682
sou dao 	搜到	c=3 d=2.91885e-014 t=57682
sou de 	搜的	c=1 d=1 t=39862
sou sou 	嗖嗖	c=1 d=3.42392e-068 t=57682
sou suo 	搜索	c=9 d=0.00293808 t=57682
sou xian 	搜先	c=1 d=1 t=52057
sou yi bo 	搜一波	c=2 d=6.02582e-034 t=57682
su 	素	c=1 d=5.86149e-040 t=57682
su 	速	c=1 d=1 t=52762
su du 	速度	c=14 d=8.27522e-009 t=57682
su ku 	訴苦	c=1 d=1 t=49714
su qiu 	訴求	c=1 d=2.07466e-027 t=57682
suan 	算	c=9 d=0.0441572 t=57682
suan 	酸	c=1 d=1 t=54142
suan chu 	算出	c=1 d=2.09266e-011 t=57682
suan fa 	算法	c=12 d=7.8947e-014 t=57682
suan fan 	算翻	c=1 d=2.34069e-064 t=57682
suan le 	算了	c=4 d=4.03442e-011 t=57682
suan li xi 	算利息	c=1 d=1.99562e-070 t=57682
suan shi 	算是	c=1 d=7.8524e-039 t=57682
suan shu 	算數	c=1 d=1.16842e-037 t=57682
suan yi ge 	算一個	c=1 d=4.10852e-036 t=57682
sui bian 	隨便	c=4 d=6.71348e-019 t=57682
sui ji 	隨機	c=1 d=1 t=51646
sui kou 	隨口	c=3 d=7.56041e-005 t=57682
sui ni 	隨你	c=1 d=1 t=55458
sui ran 	雖然	c=6 d=7.15582e-005 t=57682
sui shen 	隨身	c=1 d=1.24067e-037 t=57682
sui shi 	隨時	c=4 d=8.44096e-007 t=57682
sui shou 	隨手	c=2 d=1.57778e-012 t=57682
sun shi 	損失	c=1 d=5.89068e-069 t=57682
suo 	所	c=1 d=0.1 t=52741
suo 	鎖	c=7 d=0.114833 t=57682
suo chang 	所長	c=4 d=5.26166e-018 t=57682
suo dao 	縮到	c=1 d=1 t=56945
suo duan 	縮短	c=3 d=4.36262e-017 t=57682
suo jin 	縮進	c=2 d=1.31086e-008 t=57682
suo ping 	鎖屏	c=40 d=2.03562e-015 t=57682
suo ti sheng 	所提升	c=1 d=1 t=52742
suo wei 	所謂	c=3 d=0.000108909 t=57682
suo xiao 	縮小	c=1 d=1 t=57111
suo xie 	縮寫	c=1 d=1.22411e-026 t=57682
suo xu yao 	所需要	c=1 d=6.76459e-020 t=57682
suo yi 	所以	c=134 d=0.0133864 t=57682
suo yi bu yong 	所以不用	c=1 d=1 t=47570
suo you 	所有	c=78 d=0.000724521 t=57682
suo yu 	所欲	c=2 d=1.0001 t=39092
ta 	他	c=97 d=0.187912 t=57682
ta 	她	c=11 d=6.45024e-019 t=57682
ta 	它	c=16 d=3.86071e-010 t=57682
ta de 	他的	c=1 d=1 t=42084
ta he 	他和	c=1 d=2.91767e-068 t=57682
ta hui 	他會	c=0 d=1.7365e-023 t=57682
ta hui lai 	他回來	c=1 d=1 t=38568
ta hui zi dong 	他會自動	c=1 d=1.74521e-022 t=57682
ta ma 	他媽	c=6 d=7.16434e-005 t=57682
ta men 	他們	c=36 d=6.60565e-005 t=57682
ta shuo 	他說	c=1 d=1.00355e-071 t=57682
ta xiang 	他鄉	c=1 d=9.64526e-076 t=57682
tai 	台	c=0 d=2.03323e-026 t=57682
tai 	太	c=10 d=1.26127e-010 t=57682
tai 	態	c=3 d=3.26786e-019 t=57682
tai da 	太大	c=2 d=2.21625e-039 t=57682
tai da li 	太大裏	c=1 d=3.31246e-061 t=57682
tai di 	太低	c=1 d=3.48348e-065 t=57682
tai du 	態度	c=1 d=3.01759e-023 t=57682
tai duan 	太短	c=1 d=3.00254e-023 t=57682
tai duo 	太多	c=5 d=2.38318e-011 t=57682
tai gao 	太高	c=1 d=9.68537e-066 t=57682
tai hao 	太好	c=1 d=8.94282e-010 t=57682
tai hao le 	太好了	c=1 d=1 t=36216
tai hao wan 	太好玩	c=2 d=6.91418e-042 t=57682
tai hao wan le 	太好完了	c=1 d=2.88216e-071 t=57682
tai jin 	太近	c=1 d=1 t=40510
tai jiu 	太久	c=2 d=9.29927e-058 t=57682
tai lao 	太老	c=0 d=8.67648e-067 t=57682
tai lao le 	太老了	c=2 d=1.82611e-065 t=57682
tai mei you 	太沒有	c=1 d=1 t=45940
tai niu bi 	太牛逼	c=1 d=3.22848e-053 t=57682
tai qing chu 	太清除	c=1 d=1 t=38304
tai shao 	太少	c=2 d=4.68304e-017 t=57682
tai xiao 	太小	c=1 d=1.74124e-054 t=57682
tai zan 	太讚	c=1 d=1 t=37740
tai zao 	太早	c=2 d=9.71121e-020 t=57682
tai zheng 	太正	c=1 d=1.5615e-037 t=57682
tan 	彈	c=32 d=5.14923e-005 t=57682
tan 	談	c=6 d=2.17843e-013 t=57682
tan chu 	彈出	c=5 d=0.831104 t=57682
tan chuan 	灘船	c=1 d=1 t=55545
tan chuang 	彈窗	c=43 d=0.0565824 t=57682
tan de wu yan 	貪得無厭	c=1 d=5.54799e-011 t=57682
tan kuang 	彈框	c=7 d=2.93235 t=48295
tan qi 	嘆氣	c=1 d=1 t=52233
tan qi 	談起	c=1 d=1 t=36174
tan ti shi 	彈提示	c=1 d=1.23683e-030 t=57682
tang 	堂	c=0 d=6.23667e-065 t=57682
tang 	糖	c=1 d=1.54224e-038 t=57682
tang yuan 	湯圓	c=1 d=6.70391e-061 t=57682
tao bao 	淘寶	c=8 d=2.01056e-015 t=57682
tao bao xi 	淘寶系	c=1 d=2.30992e-026 t=57682
tao lun 	討論	c=7 d=0.18872 t=57682
tao lun xia 	討論下	c=3 d=0.14808 t=57682
tao tai 	淘汰	c=1 d=1 t=47100
tao yan 	討厭	c=0 d=0.1 t=44151
tao yan ni 	討厭你	c=1 d=1 t=44152
tao yuan 	桃園	c=3 d=1.01039e-075 t=57682
te bie 	特別	c=9 d=0.144112 t=57682
te di 	特地	c=4 d=1.70165e-011 t=57682
te ding 	特定	c=7 d=3.8348e-019 t=57682
te hei 	特黑	c=1 d=1 t=35645
te shu 	特殊	c=22 d=5.05207e-007 t=57682
te xing 	特性	c=1 d=2.90578e-020 t=57682
te yi 	特意	c=1 d=1.5201e-015 t=57682
te zheng 	特徵	c=1 d=1 t=57562
teng da 	騰大	c=1 d=3.43337e-071 t=57682
teng xun 	騰訊	c=1 d=6.04308e-046 t=57682
ti 	提	c=22 d=0.756358 t=57682
ti 	體	c=3 d=1 t=52022
ti bu liao ce 	提不了測	c=1 d=1 t=47194
ti ce 	提測	c=31 d=0.0151536 t=57682
ti ce 	體側	c=1 d=1.08123e-007 t=57682
ti ce wan 	提測完	c=1 d=1 t=51482
ti chu 	提出	c=1 d=2.76915e-071 t=57682
ti dan 	提單	c=5 d=1.31309e-028 t=57682
ti dao 	提到	c=7 d=3.3138e-007 t=57682
ti de 	體的	c=1 d=1 t=57625
ti gao 	提高	c=4 d=1.9431e-021 t=57682
ti ge 	提個	c=5 d=4.6325e-007 t=57682
ti gei 	提給	c=1 d=1 t=56287
ti gei ni 	提給你	c=1 d=1 t=52856
ti gong 	提供	c=53 d=0.000178052 t=57682
ti gong dao 	提供到	c=1 d=1.14431e-027 t=57682
ti gong yi xia 	提供一下	c=2 d=2.51084e-066 t=57682
ti guo 	提過	c=1 d=1 t=35497
ti huan 	替換	c=4 d=2.20063e-045 t=57682
ti huan diao 	替換調	c=1 d=1 t=37578
ti ji 	體積	c=2 d=4.46276e-044 t=57682
ti jiao 	提交	c=55 d=0.283819 t=57682
ti jiao wan 	提交完	c=2 d=1.01174 t=52253
ti jiao xia 	提交下	c=1 d=4.24447e-066 t=57682
ti la mi su 	提拉米蘇	c=2 d=1.50416e-038 t=57682
ti le 	提了	c=8 d=3.51093e-006 t=57682
ti qian 	提前	c=6 d=3.85886e-026 t=57682
ti qu 	提取	c=9 d=0.557106 t=57682
ti sheng 	提升	c=2 d=1.86533e-012 t=57682
ti sheng xiao guo 	提升效果	c=1 d=3.29896e-013 t=57682
ti shi 	提示	c=44 d=0.396531 t=57682
ti shi kuang 	提示框	c=3 d=1.00082 t=37783
ti shi kuang 	提示狂	c=1 d=1.48252e-044 t=57682
ti shi yu 	提示語	c=2 d=1.8024e-019 t=57682
ti wai 	題外	c=3 d=3.82099e-006 t=57682
ti wai 	體外	c=1 d=5.78111e-054 t=57682
ti wan 	提腕	c=1 d=0.000816895 t=57682
ti wen 	體溫	c=1 d=1 t=46692
ti xian 	體現	c=1 d=1 t=51721
ti xing 	提醒	c=8 d=2.08832e-016 t=57682
ti xing wo 	提醒我	c=1 d=1.3575e-037 t=57682
ti xu qiu 	提需求	c=1 d=1 t=54563
ti yan 	體驗	c=29 d=1.15953 t=57682
ti yan xia 	體驗下	c=1 d=3.91293e-021 t=57682
ti yi 	提議	c=1 d=7.52862e-073 t=57682
ti zao 	提早	c=1 d=2.0901e-026 t=57682
tian 	填	c=2 d=1 t=51692
tian 	天	c=26 d=0.634448 t=57682
tian 	甜	c=1 d=1 t=54139
